# Directed graph: /Users/richarddiehlmartinez/Documents/Documents - Richard’s MacBook Pro (2)/Classes/CS224W/Via/src/../experiments/1544125876-discount_normalized-300/graph 
# Nodes: 225 Edges: 300
# FromNodeId	ToNodeId
9740	2000
9740	2599
9740	3575
9740	6127
9740	9970
9740	10774
6132	6108
6132	6138
6132	6139
6138	6108
6133	6108
6133	6138
6133	6139
6139	6108
1995	1170
1995	1173
1995	1470
1995	1921
1995	1922
1995	1926
1995	2000
1995	2002
1995	6126
1995	6127
2000	1173
2000	1474
2000	1921
2000	1922
2000	1926
1988	1990
1988	1995
1988	2000
1990	1995
1990	2000
1990	6126
1990	6127
6127	1922
6127	6108
6127	6132
6127	6133
6127	6138
6127	6139
6126	1922
6126	6108
6126	6132
6126	6133
6126	6138
6126	6139
2600	2595
2600	2601
2600	2607
2601	2595
2601	2607
2601	2611
2601	2614
2601	2641
1922	1921
1922	1926
3575	3417
3575	3465
3575	3577
3575	3578
3577	3417
3577	3425
3577	3465
8903	4753
8903	8907
8903	8911
8907	8911
2607	2610
2607	2611
2607	2614
2607	2631
2607	2641
2607	2704
2002	1921
2002	1922
2002	1926
10340	10341
6209	6228
10339	10340
10339	10341
6216	6217
6216	9970
6217	9970
1170	1173
1170	1175
1170	1177
1173	1175
1470	1472
1470	1473
1470	1474
1470	1475
1470	1926
1472	1473
1472	1475
6229	6230
10548	10554
3416	3417
3416	3465
3416	3578
3417	3415
3578	3415
3578	3425
1993	1922
1993	1995
1993	2000
1993	2002
6298	6299
6945	6951
3520	3416
3520	3521
3520	3575
3520	3577
3521	3575
3521	3577
3521	3578
6226	6227
6248	6249
6224	6225
8860	8863
8860	8869
8860	8872
8860	8877
8869	8872
8869	8877
6280	6281
6280	9970
6281	9970
6241	6242
8854	8863
8854	8869
8854	8872
8854	8877
8863	8872
8863	8877
7020	7022
7020	7024
7022	7024
3413	3416
3413	3575
3413	3577
6942	6945
6942	6951
2301	2303
2303	2306
7166	7139
7166	7170
6220	6221
7024	1995
7024	2000
7024	2600
7024	2601
7024	2607
7024	3416
7024	3575
7024	3577
7024	7028
7024	7030
2606	2607
7165	7138
7165	7166
7165	7170
7429	7138
7429	7139
7429	7166
7429	7177
7138	7139
1987	1995
1987	2000
6245	6246
1474	1473
1474	1475
2595	2611
2595	2641
2595	2704
10520	10548
10520	10554
7424	7138
7424	7165
7424	7166
7424	7170
7424	7177
7599	7600
2611	2641
2611	2704
10546	10552
2596	2597
4753	7125
4753	7138
4753	7198
4753	7424
4753	7429
6231	6232
7198	7138
6284	6285
7028	7030
1934	1936
6235	6236
8832	8833
7125	7138
2009	2010
2009	2012
2009	2019
2009	2025
2010	2019
2010	2025
6557	6561
6557	6572
6561	6572
7215	7216
1933	1934
1933	1936
6289	6290
8836	8837
7122	7125
7122	7138
7122	7198
7122	7429
6204	6205
3576	3575
3913	3914
3913	3917
6282	6283
4759	7138
4759	7165
4759	7166
4759	7170
4759	7177
8848	8849
6233	6234
5115	5127
8935	8937
8935	8940
8932	8935
8932	8936
8932	8937
10658	10659
6222	6223
4798	7138
4798	7165
4798	7166
4798	7177
4798	7424
4798	7429
2696	2697
6255	9970
8906	8907
8906	8910
6259	6260
6243	6244
3916	3917
2006	1936
2006	2008
2006	2009
2006	2010
2006	2012
2006	2019
6239	6240
7029	7031
6202	6203
8936	8937
8936	8940
2008	2012
2008	2019
2008	2021
2008	2025
3151	3114
2019	2021
10657	10658
10657	10659
8926	8928
7143	7144
7144	7215
11083	11084
4742	7138
4742	7139
4742	7170
2025	2021
7026	7029
3923	3924
2012	2019
2012	2025
2015	2021
6270	6271
7908	7909
10882	10883
10883	10884
2026	2021
7146	7215
2680	2600
6237	6238
9556	9557
1918	11084
6266	9970
1929	1930
5105	5115
7145	7215
11162	11165
7610	7596
